SCORE;TREATMENT
5.00;EXTRINSIC
5.40;EXTRINSIC
6.10;EXTRINSIC
10.90;EXTRINSIC
11.80;EXTRINSIC
12.00;EXTRINSIC
12.30;EXTRINSIC
14.80;EXTRINSIC
15.00;EXTRINSIC
16.80;EXTRINSIC
17.20;EXTRINSIC
17.20;EXTRINSIC
17.40;EXTRINSIC
17.50;EXTRINSIC
18.50;EXTRINSIC
18.70;EXTRINSIC
18.70;EXTRINSIC
19.20;EXTRINSIC
19.50;EXTRINSIC
20.70;EXTRINSIC
21.20;EXTRINSIC
22.10;EXTRINSIC
24.00;EXTRINSIC
12.00;INTRINSIC
12.00;INTRINSIC
12.90;INTRINSIC
13.60;INTRINSIC
16.60;INTRINSIC
17.20;INTRINSIC
17.50;INTRINSIC
18.20;INTRINSIC
19.10;INTRINSIC
19.30;INTRINSIC
19.80;INTRINSIC
20.30;INTRINSIC
20.50;INTRINSIC
20.60;INTRINSIC
21.30;INTRINSIC
21.60;INTRINSIC
22.10;INTRINSIC
22.20;INTRINSIC
22.60;INTRINSIC
23.10;INTRINSIC
24.00;INTRINSIC
24.30;INTRINSIC
26.70;INTRINSIC
29.70;INTRINSIC
