SCORE;HANDICAP
1.90;NONE
2.50;NONE
3.00;NONE
3.60;NONE
4.10;NONE
4.20;NONE
4.90;NONE
5.10;NONE
5.40;NONE
5.90;NONE
6.10;NONE
6.70;NONE
7.40;NONE
7.80;NONE
1.90;AMPUTEE
2.50;AMPUTEE
2.60;AMPUTEE
3.20;AMPUTEE
3.60;AMPUTEE
3.80;AMPUTEE
4.00;AMPUTEE
4.60;AMPUTEE
5.30;AMPUTEE
5.50;AMPUTEE
5.80;AMPUTEE
5.90;AMPUTEE
6.10;AMPUTEE
7.20;AMPUTEE
3.70;CRUTCHES
4.00;CRUTCHES
4.30;CRUTCHES
4.30;CRUTCHES
5.10;CRUTCHES
5.80;CRUTCHES
6.00;CRUTCHES
6.20;CRUTCHES
6.30;CRUTCHES
6.40;CRUTCHES
7.40;CRUTCHES
7.40;CRUTCHES
7.50;CRUTCHES
8.50;CRUTCHES
1.40;HEARING
2.10;HEARING
2.40;HEARING
2.90;HEARING
3.40;HEARING
3.70;HEARING
3.90;HEARING
4.20;HEARING
4.30;HEARING
4.70;HEARING
5.50;HEARING
5.80;HEARING
5.90;HEARING
6.50;HEARING
1.70;WHEELCHAIR
2.80;WHEELCHAIR
3.50;WHEELCHAIR
4.70;WHEELCHAIR
4.80;WHEELCHAIR
5.00;WHEELCHAIR
5.30;WHEELCHAIR
6.10;WHEELCHAIR
6.10;WHEELCHAIR
6.20;WHEELCHAIR
6.40;WHEELCHAIR
7.20;WHEELCHAIR
7.40;WHEELCHAIR
7.60;WHEELCHAIR
