PROPORTION;PAIR;LENGTH
0.44;PAIR 1;35.00
0.54;PAIR 1;35.00
0.50;PAIR 1;35.00
0.65;PAIR 1;35.00
0.53;PAIR 1;35.00
0.53;PAIR 1;35.00
0.62;PAIR 1;35.00
0.49;PAIR 1;35.00
0.46;PAIR 1;35.00
0.57;PAIR 1;35.00
0.59;PAIR 1;35.00
0.68;PAIR 1;35.00
0.73;PAIR 1;35.00
0.44;PAIR 1;35.00
0.67;PAIR 1;35.00
0.58;PAIR 1;35.00
0.52;PAIR 2;31.00
0.66;PAIR 2;31.00
0.69;PAIR 2;31.00
0.46;PAIR 2;31.00
0.80;PAIR 2;31.00
0.67;PAIR 2;31.00
0.73;PAIR 2;31.00
0.72;PAIR 2;31.00
0.55;PAIR 2;31.00
0.70;PAIR 2;31.00
0.63;PAIR 2;31.00
0.40;PAIR 2;31.00
0.41;PAIR 2;31.00
0.59;PAIR 2;31.00
0.91;PAIR 3;33.00
0.62;PAIR 3;33.00
0.10;PAIR 3;33.00
0.84;PAIR 3;33.00
0.91;PAIR 3;33.00
0.56;PAIR 3;33.00
0.84;PAIR 3;33.00
0.53;PAIR 3;33.00
0.37;PAIR 3;33.00
0.65;PAIR 3;33.00
0.48;PAIR 3;33.00
0.51;PAIR 3;33.00
0.40;PAIR 3;33.00
0.91;PAIR 3;33.00
0.75;PAIR 3;33.00
0.56;PAIR 3;33.00
0.68;PAIR 3;33.00
0.72;PAIR 4;34.00
0.58;PAIR 4;34.00
0.51;PAIR 4;34.00
0.57;PAIR 4;34.00
0.92;PAIR 4;34.00
0.55;PAIR 4;34.00
0.59;PAIR 4;34.00
0.42;PAIR 4;34.00
0.69;PAIR 4;34.00
0.78;PAIR 4;34.00
0.70;PAIR 4;34.00
0.89;PAIR 4;34.00
0.67;PAIR 4;34.00
0.77;PAIR 4;34.00
0.78;PAIR 5;28.00
0.66;PAIR 5;28.00
0.48;PAIR 5;28.00
0.77;PAIR 5;28.00
0.58;PAIR 5;28.00
0.61;PAIR 5;28.00
0.65;PAIR 5;28.00
0.63;PAIR 5;28.00
0.61;PAIR 5;28.00
0.33;PAIR 6;34.00
0.42;PAIR 6;34.00
0.36;PAIR 6;34.00
0.80;PAIR 6;34.00
0.59;PAIR 6;34.00
0.58;PAIR 6;34.00
0.64;PAIR 6;34.00
0.83;PAIR 6;34.00
0.76;PAIR 6;34.00
0.66;PAIR 6;34.00
0.56;PAIR 6;34.00
0.85;PAIR 6;34.00
0.61;PAIR 6;34.00
0.88;PAIR 6;34.00
